topic,topic_label,years_min,years_max,p_first,p_last,delta,slope_per_year,cagr_approx,spearman_rho
0,0_modelos_dados_linguagem_imagens,2020,2024,0.08196721311475409,0.2080536912751678,0.12608647816041368,0.03208529020622424,0.2622140534513342,0.8999999999999998
1,1_nuvem_recursos_dados_sistema,2020,2024,0.04918032786885246,0.14093959731543623,0.09175926944658377,0.021783471413887808,0.3010948695322102,0.7999999999999999
6,6_software_empresas_objetivo_vulnerabilidades,2020,2024,0.04918032786885246,0.10067114093959731,0.05149081307074485,0.01486730661357783,0.19612691689656248,0.7999999999999999
8,8_dados_meio_aplicativos_anlise,2020,2024,0.01639344262295082,0.04697986577181208,0.03058642314886126,0.010767340554190995,0.30108625802421796,0.7
5,5_sade_animais_pandemia_dados,2020,2024,0.04918032786885246,0.11409395973154363,0.06491363186269117,0.010760028197816074,0.23414603502502995,0.3
9,9_ensino_alunos_atividades_evaso,2020,2024,0.01639344262295082,0.04697986577181208,0.03058642314886126,0.0064599704297294185,0.30108625802421796,0.7
4,4_dados_digital_sobre_privacidade,2020,2024,0.04918032786885246,0.11409395973154363,0.06491363186269117,0.006267036598377698,0.23414603502502995,0.3
3,3_software_projetos_cdigo_bugs,2020,2024,0.04918032786885246,0.087248322147651,0.03806799427879855,-0.0012962319431265585,0.15409205912413415,0.09999999999999999
2,2_alunos_computao_programao_sistema,2020,2024,0.14754098360655737,0.10067114093959731,-0.046869842666960065,-0.008055580108556813,-0.09113700398483615,-0.7
7,7_dados_logs_sistemas_banco,2020,2024,0.08196721311475409,0.03355704697986577,-0.04841016613488832,-0.012299771976650447,-0.20009612160191603,-0.9999999999999999
10,10_oratio_projeto_solid_clean,2020,2024,0.4098360655737705,0.006711409395973154,-0.40312465617779736,-0.0813388599854702,-0.6422605781135099,-0.8999999999999998
