orientador_canon,qtde
"MASSONI, Tiago Lima.",34
"CAMPELO, Claudio Elízio Calazans.",27
"GOMES, Herman Martins.",27
"MONTEIRO, João Arthur Brunet.",26
"MORAIS, Fábio Jorge Almeida.",23
"SILVA, Thiago Emmanuel Pereira da Cunha.",22
"BAPTISTA, Cláudio de Souza.",19
"MOURA, José Antão Beltrão.",17
"ARAÚJO, Joseana Macêdo Fechine Régis de.",14
"CAMPOS, Lívia Maria Rodrigues Sampaio.",13
"ALVES, Everton Leandro Galdino.",13
"BRITO, Andrey Elísio Monteiro.",12
"ANDRADE, Wilkerson de Lucena.",11
"GHEYI, Rohit.",11
"RAMALHO, Franklin de Souza.",11
"ARAÚJO, Eliane Cristina de.",11
"MARINHO, Leandro Balby.",10
"PIRES, Carlos Eduardo Santos.",10
"PEREIRA, Eanes Torres.",10
"GARCIA, Francilene Procópio.",9
"BRASILEIRO, Francisco Vilar.",8
"RÊGO, Matheus Gaudencio do.",8
"BARROS, Marcelo Alves de.",8
"FARIAS, Adalberto Cajueiro de.",7
"GOMES, Reinaldo Cézar de Morais.",6
"SABINO, Melina Mongiovi Cunha Lima.",6
"ANDRADE, Nazareno Ferreira de.",5
"FECHINE, Joseana Macêdo.",5
"OLIVEIRA, Maxwell Guimarães de.",5
"ALMEIDA, Hyggo Oliveira de.",5
"GUERRERO, Dalton Dario Serey.",4
"LIRA, Melina Mongiovi Brito.",4
"PEREIRA, Thiago Emmanuel.",3
"MONGIOVI, Melina.",3
"MELCHER, Elmar Uwe Kurt.",2
"CAMPOS,  Lívia Maria Sampaio.",2
"GHEYI, Rohit Gheyi.",2
"GARCIA, Franceline Procópio.",2
"GORGÔNIO, Kyller Costa.",2
"MORAES, Fábio Jorge Almeida.",1
"SILVA, Emmanuel Pereira da Cunha.",1
"FARIA, Roberto Medeiros de.",1
"ARAÚJO, Elaine Cristina de.",1
"SAMPAIO, Lívia Maria Rodrigues Sampaio.",1
"NICOLLETTI, Pedro Sergio.",1
